state,county,location_type,name,address_1,address_2,city,state_2,zip,phone,fax
Indiana,Adams,Election Board Office,CLERK OF THE CIRCUIT COURT,112 S 2ND ST ,RM A,DECATUR,IN,46733-1618,260-724-5309,260-724-5313
Indiana,ALLEN,Election Board Office,ALLEN COUNTY ELECTION BOARD,1 E MAIN ST ,SUITE 172,FORT WAYNE,IN,46802,260-449-7329,260-449-7908
Indiana,BARTHOLOMEW,Election Board Office,BARTHOLOMEW COUNTY VOTER REGISTRATION AND ELECTIONS,,,COLUMBUS,IN,47202-0924,812-379-1604,812-379-1676
Indiana,Benton,Election Board Office,Benton County Courthouse,706 E. 5TH ,COURTHOUSE ST. #37,FOWLER,IN,47944,765-884-0930,765-884-0322
Indiana,BLACKFORD,Election Board Office,BLACKFORD COUNTY COURTHOUSE,110 W WASHINGTON ST,FIRST FLOOR ,HARTFORD CITY,IN,47348-2295,765-348-7217,765-348-7234
Indiana,BOONE,Election Board Office,BOONE COUNTY CLERK'S OFFICE,212 COURTHOUSE SQUARE,,LEBANON,IN,46052,765-482-3510,765-485-0150
Indiana,BROWN,Election Board Office,BROWN COUNTY VOTER REGISTRATION/ELECTIONS,20 E. MAIN STREET,,NASHVILLE,IN,47448,812-988-5510,812-988-5562
Indiana,CARROLL,Election Board Office,CARROLL COUNTY ELECTION BOARD,101 W. MAIN ST.,STE. 207,DELPHI,IN,46923,765-564-6795,765-564-1835
Indiana,CASS,Election Board Office,CASS COUNTY VOTER REGISTRATION,200 COURT PARK,ROOM 103,LOGANSPORT,IN,46947,574-753-7870,574-722-1556
Indiana,CLARK,Election Board Office,CLARK COUNTY VOTER REGISTRATION,501 E. COURT AVE,ROOM 139,JEFFERSONVILLE,IN,47130,812-285-6329,812-280-5652
Indiana,CLAY,Election Board Office,CLAY COUNTY COURT HOUSE,609 E NATIONAL AV,RM 211,BRAZIL,IN,47834,812-448-9023,812-448-9006
Indiana,CLINTON,Election Board Office,CLINTON COUNTY ELECTION BOARD,265 COURTHOUSE SQUARE,,FRANKFORT,IN,46041,765-659-6335,765-659-6347
Indiana,CRAWFORD,Election Board Office,CRAWFORD COUNTY VOTER REGISTRATION,715 JUDICIAL PLAZA DRIVE,,ENGLISH,IN,47118,812-338-2565,812-338-2507
Indiana,Daviess,Election Board Office,DAVIESS COUNTY VOTER REGISTRATION,200 E WALNUT STREET,,WASHINGTON,IN,47501,812-254-8679,812-254-8698
Indiana,DEARBORN,Election Board Office,DEARBORN COUNTY VOTER REGISTRATION,165 MARY STREET ,,LAWRENCEBURG,IN,47025,812-537-8867,812-532-2021
Indiana,DEKALB,Election Board Office,DEKALB COUNTY VOTER REGISTRATION,100 S MAIN STREET,,AUBURN,IN,46706,260-925-9787,260-925-5126
Indiana,DECATUR,Election Board Office,DECATUR COUNTY VOTER REGISTRATION,150 COURTHOUSE SQUARE,SUITE 244,GREENSBURG,IN,47240,812-663-8223,812-662-6627
Indiana,DELAWARE,Election Board Office,DELAWARE COUNTY VOTER REGISTRATION,100 W MAIN STREET,RM 104,MUNCIE,IN,47305,765-747-7812,
Indiana,DUBOIS,Election Board Office,DUBOIS COUNTY VOTER REGISTRATION,1 COURTHOUSE SQUARE,,JASPER,IN,47546,812-481-7035,812-481-7038
Indiana,ELKHART,Election Board Office,ELKHART COUNTY ELECTION BOARD,101 N. MAIN ST. ,ROOM 204,GOSHEN,IN,46526,574-535-6469,574-535-6471
Indiana,Fayette,Election Board Office,Fayette County ELECTION BOARD,401 CENTRAL AVENUE,,CONNERSVILLE,IN,47331,765-825-1813,765-827-4902
Indiana,FLOYD,Election Board Office,FLOYD COUNTY VOTER REGISTRATION,311 HAUSS SQUARE ,ROOM 235,NEW ALBANY,IN,47150,812-948-5419,812-948-4711
Indiana,FRANKLIN,Election Board Office,FRANKLIN COUNTY VOTER REGISTRATION,459 MAIN STREET,,BROOKVILLE,IN,47012,765-647-5111,765-647-3224
Indiana,Fountain,Election Board Office,FOUNTAIN COUNTY VOTER REGISTRATION,301 4TH STREET,,COVINGTON,IN,47932,765-793-6230,765-793-6209
Indiana,FULTON,Election Board Office,FULTON COUNTY ELECTION BOARD,815 MAIN ST,,ROCHESTER,IN,46975,574-223-4824,574-223-8304
Indiana,GIBSON,Election Board Office,GIBSON COUNTY VOTER REGISTRATION,101 N MAIN ST,,PRINCETON,IN,47670,812-385-2541,812-385-5025
Indiana,GRANT,Voter Registration Office,GRANT COUNTY VOTER REGISTRATION,101 E 4TH ST,,MARION,IN,46952-4004,765-664-9880,765-664-4515
Indiana,GREENE,Election Board Office,GREENE COUNTY VOTER REGISTRATION,1 EAST MAIN ST,,BLOOMFIELD,IN,47424-0229,812-384-2015,812-384-8458
Indiana,HAMILTON,Voter Registration Office,HAMILTON COUNTY VOTER REGISTRATION,1 HAMILTON CTY SQ,SUITE 13,NOBLESVILLE,IN,46060,317-776-9632,317-770-8877
Indiana,HANCOCK,Voter Registration Office,HANCOCK COUNTY ELECTION OFFICE,9 E MAIN ST ,RM 227,GREENFIELD,IN,46140,317-477-1171,317-477-8683
Indiana,HARRISON,Voter Registration Office,HARRISON COUNTY VOTER REGISTRATION,300 N CAPITOL AVE,,CORYDON,IN,47112,812-738-4289,812-738-3126
Indiana,HENDRICKS,Voter Registration Office,HENDRICKS COUNTY VOTER REGISTRATION,355 S WASHINGTON ST ,STE 120,DANVILLE,IN,46122-1798,317-745-9249,317-745-9452
Indiana,HENRY,Voter Registration Office,HENRY COUNTY VOTER REGISTRATION,1215 RACE ST ,SUITE 130,NEW CASTLE,IN,47362,765-529-9310,765-521-7046
Indiana,HOWARD,Voter Registration Office,HOWARD COUNTY VOTER REGISTRATION,104 N BUCKEYE ST ,ROOM 116,KOKOMO,IN,46901,765-456-2219,765-456-2267
Indiana,HUNTINGTON,Voter Registration Office,HUNTINGTON COUNTY VOTER REGISTRATION,,,HUNTINGTON,IN,46750,260-358-4820,260-358-4880
Indiana,JACKSON,Voter Registration Office,JACKSON COUNTY VOTER REGISTRATION,109 S SUGAR ST CLERK ,SUITE 130,BROWNSTOWN,IN,47220,812-358-6120,812-358-6187
Indiana,JASPER,Voter Registration Office,JASPER COUNTY VOTER REGISTRATION,115 W WASHINGTON STREET ,SUITE 204,RENSSELAER,IN,47978,219-866-4929,219-866-9450
Indiana,JAY,Voter Registration Office,JAY COUNTY VOTER REGISTRATION,120 COURT ST,,PORTLAND,IN,47371,260-726-6917,260-726-6922
Indiana,JEFFERSON,Voter Registration Office,JEFFERSON COUNTY VOTER REGISTRATION,300 E MAIN STREET ,ROOM 203,MADISON,IN,47250,812-265-8926,812-273-5428
Indiana,Jennings,Election Board Office,JENNINGS COUNTY ELECTION OFFICE,24 N PIKE ST,,VERNON,IN,47282,812-352-3080,812-352-3081
Indiana,JOHNSON,Voter Registration Office,JOHNSON CO. VOTER REGISTRATION,,,FRANKLIN,IN,46131-0451,317-346-4466,
Indiana,KNOX,Voter Registration Office,KNOX COUNTY VOTER REGISTRATION,111 N 7TH STREET,STE. 27,VINCENNES,IN,47591,812-895-4927,
Indiana,KOSCIUSKO,Voter Registration Office,KOSCIUSKO COUNTY VOTER REGISTRATION,121 N LAKE ST ,ROOM D162,WARSAW,IN,46580,574-372-2332,574-372-2338
Indiana,LAGRANGE,Voter Registration Office,LAGRANGE COUNTY VOTER REGISTRATION,105 NORTH DETROIT STREET,,LAGRANGE,IN,46761,260-499-6392,260-499-6403
Indiana,LAKE,Voter Registration Office,LAKE COUNTY BOARD OF ELECTIONS,2293 N MAIN STREET ,A-205,CROWN POINT,IN,46307,219-755-3795,219-755-3801
Indiana,Laporte,Voter Registration Office,COUNTY ELECTION BOARD AND VOTER REGISTRATION,813 LINCOLNWAY ,STE 103,LAPORTE,IN,46350,219-325-5572,219-326-6626
Indiana,LAWRENCE,Voter Registration Office,LAWRENCE COUNTY VOTER REGISTRATION,916 15TH STREET ,ROOM 11,BEDFORD,IN,47421,812-277-2036,812-275-4142
Indiana,MADISON,Voter Registration Office,MADISON COUNTY VOTER REGISTRATION,16 E 9TH STREET,,ANDERSON,IN,46016,765-641-9657,765-608-9708
Indiana,MARION,Voter Registration Office,MARION COUNTY VOTERS REGISTRATION,200 E. WASHINGTON STREET ,SUITE W-131,INDIANAPOLIS,IN,46204,317-327-5040,317-327-5042
Indiana,MARSHALL,Voter Registration Office,MARSHALL COUNTY VOTER REGISTRATION,211 W MADISON STREET,,PLYMOUTH,IN,46563,574-935-8713,574-936-8893
Indiana,MARTIN,Voter Registration Office,MARTIN COUNTY VOTER REGISTRATION,,,SHOALS,IN,47581,812-247-3651,812-247-2791
Indiana,MIAMI,Voter Registration Office,MIAMI COUNTY VOTER REGISTRATION,25 N. BROADWAY ,ROOM 108,PERU,IN,46970,765-472-3901,765-472-8593
Indiana,MONROE,Voter Registration Office,MONROE COUNTY VOTER REGISTRATION,401 W 7TH ST ,SUITE 100,BLOOMINGTON,IN,47404,812-349-2690,812-330-6460
Indiana,MONTGOMERY,Election Board Office,MONTGOMERY ELECTION BOARD,100 E MAIN STREET,,CRAWFORDSVILLE,IN,47933,765-364-6437,765-364-6355
Indiana,MORGAN,Voter Registration Office,MORGAN COUNTY VOTER REGISTRATION,180 S. MAIN ST. ,STE 1,MARTINSVILLE,IN,46151,765-342-1029,765-349-5370
Indiana,NEWTON,Voter Registration Office,NEWTON COUNTY ELECTION BOARD,201 NORTH THIRD ST, ,KENTLAND,IN,47951-0049,219-474-6081,219-474-5749
Indiana,NOBLE,Voter Registration Office,NOBLE COUNTY VOTER REGISTRATION,101 N ORANGE ST,,ALBION,IN,46701,260-636-2736,260-636-4000
Indiana,OHIO,Voter Registration Office,OHIO COUNTY VOTER REGISTRATION,,,RISING SUN,IN,47040,812-438-2610,
Indiana,ORANGE,Voter Registration Office,ORANGE COUNTY VOTER REGISTRATION,1 COURT STREET,COURTHOUSE,PAOLI,IN,47454,812-723-2649,812-723-0239
Indiana,Owen,Voter Registration Office,OWEN COUNTY VOTER REGISTRATION,,,SPENCER,IN,47460,812-829-5028,
Indiana,PARKE,Voter Registration Office,PARKE COUNTY VOTER REGISTRATION,116 W HIGH STREET ,ROOM 204,ROCKVILLE,IN,47872,765-569-5132,765-569-4222
Indiana,PERRY,Voter Registration Office,PERRY COUNTY VOTER REGISTRATION,2219 PAYNE STREET,,TELL CITY,IN,47586,812-547-3741,
Indiana,PIKE,Voter Registration Office,PIKE COUNTY VOTER REGISTRATION,801 MAIN ST, ,PETERSBURG,IN,47567-0125,812-354-6025,812-354-6369
Indiana,PORTER,Voter Registration Office,PORTER COUNTY BOARD OF ELECTIONS & REGISTRATION,155 INDIANA AVE,STE 105,VALPARAISO,IN,46383,219-465-3485,219-465-3497
Indiana,POSEY,Voter Registration Office,POSEY COUNTY VOTER REGISTRATION,300 MAIN ST. ,ROOM 115,MT VERNON,IN,47620,812-838-1339,812-838-1307
Indiana,PULASKI,Voter Registration Office,PULASKI COUNTY VOTER REGISTRATION,112 EAST MAIN STREET ,ROOM 230,WINAMAC,IN,46996-1344,574-946-4401,574-946-4953
Indiana,PUTNAM,Voter Registration Office,PUTNAM COUNTY VOTER REGISTRATION,,,GREENCASTLE,IN,46135,765-655-1538,765-653-7030
Indiana,RANDOLPH,Voter Registration Office,RANDOLPH COUNTY VOTER REGISTRATION,100 S. MAIN ST. ,ROOM 201,WINCHESTER,IN,47394,765-584-4717,765-584-4320
Indiana,RIPLEY,Voter Registration Office,RIPLEY COUNTY VOTER REGISTRATION,,,VERSAILLES,IN,47042,812-689-4783,812-750-8701
Indiana,RUSH,Voter Registration Office,RUSH COUNTY VOTER REGISTRATION,101 E 2ND ST ,ROOM 209,RUSHVILLE,IN,46173,765-932-2086,765-932-4165
Indiana,SCOTT,Voter Registration Office,SCOTT COUNTY VOTER REGISTRATION,1 E MCCLAIN AVENUE ,SUITE 120,SCOTTSBURG,IN,47170,812-752-8420,
Indiana,SHELBY,Voter Registration Office,SHELBY COUNTY CLERK,,,SHELBYVILLE,IN,46176-0198,317-392-6324,317-392-6339
Indiana,SPENCER,Voter Registration Office,SPENCER COUNTY VOTER REGISTRATION,200 MAIN STREET ,ROOM # 5 PO BOX #523,ROCKPORT,IN,47635,812-649-6017,812-649-2139
Indiana,ST. JOSEPH,Voter Registration Office,ST JOSEPH COUNTY VOTER REGISTRATION,227 WEST JEFFERSON BOULEVARD  ,4TH FLOOR,SOUTH BEND,IN,46601-1871,574-235-9521,574-235-7847
Indiana,STARKE,Voter Registration Office,STARKE COUNTY VOTER REGISTRATION,53 E WASHINGTON STREET, ,KNOX,IN,46534,574-772-9160,574-772-9169
Indiana,STEUBEN,Voter Registration Office,STEUBEN COUNTY VOTER REGISTRATION,55 S PUBLIC SQUARE,,ANGOLA,IN,46703,260-668-1000,260-668-3702
Indiana,SULLIVAN,Voter Registration Office,SULLIVAN COUNTY CLERK,,,SULLIVAN,IN,47882,812-268-4657,812-268-7027
Indiana,SWITZERLAND,Voter Registration Office,SWITZERLAND COUNTY VOTER REGISTRATION,212 WEST MAIN STREET,,VEVAY,IN,47043,812-427-4415,
Indiana,TIPPECANOE,Voter Registration Office,TIPPECANOE COUNTY BOARD OF ELECTIONS AND REGISTRATION,20 N 3RD ST,,LAFAYETTE,IN,47901,765-423-9303,765-423-9386
Indiana,TIPTON,Voter Registration Office,TIPTON COUNTY VOTER REGISTRATION,101 E JEFFERSON STREET,,TIPTON,IN,46072,765-675-2795,
Indiana,UNION,Voter Registration Office,UNION COUNTY VOTER REGISTRATION,26 UNION STREET,,LIBERTY,IN,47353,765-458-6121,
Indiana,VANDERBURGH,Voter Registration Office,VANDERBURGH COUNTY VOTER REGISTRATION,1 NW ML KING JR. BLVD,ROOM 214,EVANSVILLE,IN,47708,812-435-5222,812-435-5013
Indiana,VERMILLION,Voter Registration Office,VERMILLION COUNTY CLERK,255 S MAIN ST ,3RD FL RM 304 PO BOX 10,NEWPORT,IN,47966,765-492-5350,765-492-5351
Indiana,VIGO,Voter Registration Office,VOTER REGISTRATION OFFICE,33 S. 3RD STREET  ,2ND FLOOR,TERRE HAUTE,IN,47807-3425,812-462-3393,812-462-3254
Indiana,WABASH,Voter Registration Office,WABASH COUNTY VOTER REGISTRATION,69 W HILL STREET,,WABASH,IN,46992,260-563-0661,260-569-1352
Indiana,WARREN,Voter Registration Office,WARREN COUNTY VOTER REGISTRATION,125 N MONROE STREET,,WILLIAMSPORT,IN,47993,765-762-2834,765-762-7251
Indiana,Warrick,Voter Registration Office,WARRICK COUNTY VOTER REGISTRATION,1 COUNTY SQUARE ,SUITE 220,BOONVILLE,IN,47601,812-897-6161,812-897-6400
Indiana,WASHINGTON,Voter Registration Office,WASHINGTON COUNTY ELECTION AND VOTER SERVICES OFFICE,801 S. JACKSON STREET ,SUITE 102,SALEM,IN,47167,812-883-5748,
Indiana,WAYNE,Voter Registration Office,WAYNE COUNTY CLERK - VOTER REGISTRATION,301 E MAIN ST,,RICHMOND,IN,47374,765-973-9304,765-973-9490
Indiana,WELLS,Voter Registration Office,WELLS COUNTY VOTER REGISTRATION,102 W MARKET STREET ,SUITE 201,BLUFFTON,IN,46714,260-824-6479,260-824-6559
Indiana,WHITE,Voter Registration Office,WHITE COUNTY VOTER REGISTRATION,,,MONTICELLO,IN,47960,574-583-1531,574-583-1532
Indiana,WHITLEY,Voter Registration Office,WHITLEY COUNTY VOTER REGISTRATION,101 W. VAN BUREN ST.,,COLUMBIA CITY,IN,46725,260-248-3164,260-248-3137