longitude,latitude,entrytype,location_type,location_name,address_1,address_2,zip,display_note,schedule_type,open_date,open_time,close_date,close_time
-77.03233527,38.91756721,dropbox,Government,Frank D. Reeves Center,2000 14th Street NW,,20009,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.0371446,38.93046772,dropbox,Library,Mt. Pleasant Library,3160 16th Street NW,,20010,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.03298372,38.92930077,dropbox,Business,Columbia Heights Shopping Center,3100 14th Street NW,,20010,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.04286488,38.92215973,dropbox,Business,Sun Trust Bank (Park Area),1800 Columbia Road NW,,20009,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.02258308,38.92270429,dropbox,Recreation Center,Banneker Community Center,2500 Georgia Avenue NW,,20001,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.06601466,38.91340152,dropbox,Library,Georgetown Library,3260 R Street NW,,20007,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.02476625,38.89869166,dropbox,Library,Martin Luther King Jr. Library,901 G Street NW,,20001,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.05062968,38.90396584,dropbox,Library,West End Library,2301 L Street NW,,20037,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.0712921,38.92215476,dropbox,Recreation Center,Guy Mason Recreation Center,3600 Calvert Street NW,,20007,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.03756352,38.91014741,dropbox,Recreation Center,Stead Recreation Center,1625 P Street NW,,20036,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.07542972,38.96557557,dropbox,Library,Chevy Chase Library,5625 Connecticut Avenue NW,,20015,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.07994743,38.94760729,dropbox,Library,Tenley-Friendship Library,4450 Wisconsin Avenue NW,,20016,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.09717464,38.9183818,dropbox,Library,Cleveland Park Library,4901 V Street NW,,20007,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.09717464,38.9183818,dropbox,Library,Palisades Library,4901 V Street NW,,20007,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.07483805,38.93484617,dropbox,Police Station,Second District Police Station,3320 Idaho Avenue NW,,20016,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.01756889,38.97503585,dropbox,Metro Station,Takoma Metro,327 Cedar Street NW,,20012,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.02613743,38.94220022,dropbox,Library,Petworth Library,4200 Kansas Avenue NW,,20011,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.02700556,38.98029047,dropbox,Library,Shephard Park (Juanita E. Thornton) Library,7420 Georgia Avenue NW,,20012,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.02741098,38.96312578,dropbox,Police Station,Fourth District Police Station,6001 Georgia Avenue NW,,20011,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.00836374,38.96773143,dropbox,Recreation Center,Lamond Recreation Center,20 Tuckerman Street NE,,20011,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.97863547,38.92741373,dropbox,Library,Woodridge Library,1801 Hamlin Street NE,,20018,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.9971306,38.95323657,dropbox,School,UDC Community College @Backus,5171 South Dakota Avenue NE,,20017,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.97859551,38.93679648,dropbox,School,Perry Street Prep Charter School,1800 Perry Street NE,,20018,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.98833984,38.90405512,dropbox,Recreation Center,Joseph H. Cole Recreation Center,1299 Neal Street NE,,20002,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.01269148,38.90762655,dropbox,School,Dunbar High School,101 N Street NW,,20001,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.99708164,38.90824708,dropbox,Business,Union Market DC,1309 5th Street NE,,20002,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.99704088,38.93205742,dropbox,Business,Monroe Street Market,625 Monroe Street NE,Outside Busboys and Poets closer to curb,20017,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.99377059,38.92018824,dropbox,Business,Rhode Island Place Shopping Center,1060 Brentwood Road NE,Around the Giant Grocery store area,20018,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.02221836,38.91244216,dropbox,Library,Shaw (Watha T. Daniel) Library,1630 7th Street NW,,20001,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.99643011,38.89440853,dropbox,Library,Northeast Library,330 7th Street NE,,20002,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.97913403,38.89781195,dropbox,Library,Rosedale Library,1701 Gales Street NE,,20002,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.01871456,38.87684182,dropbox,Library,Southwest Library,425 M Street SW,,20024,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.99646575,38.88656971,dropbox,Business,Eastern Market,225 7th Street SE,,20003,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.00792537,38.87795235,dropbox,Government,BOE Headquarters,1015 Half Street SE,,20003,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.92957721,38.88895483,dropbox,Library,Capital View Library,5001 Central Avenue SE,,20019,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.9324694,38.90844705,dropbox,Library,Deanwood Library,1350 49th Street NE,,20019,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.94780521,38.89413388,dropbox,Library,Benning (Dorothy I. Height) Library,3935 Benning Road NE,,20019,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.95420121,38.8648716,dropbox,Library,Francis A Gregory Library,3660 Alabama Avenue SE,,20020,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.9301502,38.90036493,dropbox,Police Station,Sixth District Police Station,5002 Hayes Street NE,,20019,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.93744805,38.88866008,dropbox,Government,Benning Ridge Service Center (DMV),4525 Benning Road SE,,20019,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.96011482,38.86999812,dropbox,Business,Penn Branch Center,3202 Pennsylvania Avenue SE,Backside Parking Lot,20020,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.94083034,38.87651506,dropbox,Recreation Center,Ridge Road Community Center,830 Ridge Road SE,,20019,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.97854393,38.86598623,dropbox,Library,Anacostia Library,1800 Good Hope Road SE,,20020,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.98125132,38.84618686,dropbox,Library,Parklands-Turner Library,1547 Alabama Avenue SE,,20032,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.0093649,38.83132585,dropbox,Library,Bellevue (William O. Lockridge) Library,115 Atlantic Street SW,,20032,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.96954788,38.85339973,dropbox,Police Station,Seventh District Police Station,2455 Alabama Avenue SE,,20020,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.97532187,38.84355746,dropbox,Business,The ARC,1901 Mississippi Avenue SE,,20020,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.98922845,38.86535189,dropbox,Government,Department of Human Services,2100 Martin Luther King Jr. Avenue SE,,20020,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.99904538,38.828988,dropbox,School,Hendley Elementary School,425 Chesapeake Street SE,,20032,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.00823801,38.82678236,dropbox,School,Patterson Elementary School,4399 South Capitol Terrace SW,,20032,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.05031576,38.90096397,dropbox,Metro Station,Foggy Bottom/GWU Metro,"2301 I Street, NW",,,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.02015197,38.974537,dropbox,Library,Takoma Park Neighborhood Library,"416 Cedar Street, NW",,,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.01373001,38.90398828,dropbox,Library,Northwest One Neighboerhood Library,"155 L Street, NW",,,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.99655347,38.8840846,dropbox,Library,Southeast Neighborhood Library,"403 7th Street, SE",,,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-76.97891124,38.85764178,dropbox,Recreation Center,Fort Stanton Recreation Center,"1812 Erie Street, SE",,,,continuous,2020/10/05,23:59:59,2020/11/03,20:00:00
-77.03519629,38.92514954,earlyvc,Unknown,COLUMBIA HEIGHTS COMMUNITY CENTER,1480 GIRARD STREET NW,,20009,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.02631252,38.91683966,earlyvc,Unknown,PRINCE HALL CENTER (MASONIC TEMPLE),1000 U STREET NW,,20001,Ballroom,hours,2020/10/27,08:30,2020/11/02,19:00
-77.06903157,38.91540724,earlyvc,Unknown,HARDY MIDDLE SCHOOL,1819 35TH STREET NW,,20007,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.02119297,38.89794557,earlyvc,Unknown,SUPER VOTE CENTER - CAPITAL ONE SPORTS ARENA,601 F STREET NW,,20004,Concourse Area,hours,2020/10/27,08:30,2020/11/02,19:00
-77.05331359,38.92265867,earlyvc,Unknown,SUPER VOTE CENTER - OMNI SHOREHAM HOTEL,2500 CALVERT STREET NW,,20008,Ballroom,hours,2020/10/27,08:30,2020/11/02,19:00
-77.06440191,38.94390717,earlyvc,Unknown,SUPER VOTE CENTER - UNIVERSITY OF THE DISTRICT OF COLUMBIA,4200 CONNECTICUT AVENUE NW,,20008,TBD,hours,2020/10/27,08:30,2020/11/02,19:00
-77.01952305,38.96659971,earlyvc,Unknown,IDA B. WELLS MIDDLE SCHOOL,405 SHERIDAN STREET NW,,20011,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.02787027,38.958654,earlyvc,Unknown,EMERY HEIGHTS COMMUNITY CENTER,5801 GEORGIA AVENUE NW,,20011,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.99310085,38.93820395,earlyvc,Unknown,TURKEY THICKET RECREATION CENTER,1100 MICHIGAN AVENUE NE,,20017,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.99772228,38.90861561,earlyvc,Unknown,SUPER VOTE CENTER - DOCK 5 @ UNION MARKET,1309 5TH STREET NE,,20002,Event Space,hours,2020/10/27,08:30,2020/11/02,19:00
-76.99316406,38.89876309,earlyvc,Unknown,SHERWOOD RECREATION CENTER,640 10TH STREET NE,,20002,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.93232146,38.90844616,earlyvc,Unknown,DEANWOOD RECREATION CENTER,1350 49TH STREET NE,,20019,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.94834212,38.88889619,earlyvc,Unknown,BENNING STODDERT RECREATION CENTER,100 STODDERT PLACE SE,,20019,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.98654041,38.84484873,earlyvc,Unknown,MALCOLM X OPPORTUNITY CENTER,1351 ALABAMA AVENUE SE,,20032,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.99540174,38.83235552,earlyvc,Unknown,FEREBEE-HOPE RECREATION CENTER,3999 8TH STREET SE,,20032,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.00794968,38.8720164,earlyvc,Unknown,SUPER VOTE CENTER - WASHINGTON NATIONALS PARK,1500 SOUTH CAPITOL STREET SE,,20003,Concourse Area,hours,2020/10/27,08:30,2020/11/02,19:00
-77.04093361,38.91869178,earlyvc,Unknown,Marie Reed Elementary School,"2201 18th Street, NW",,20009,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.05231439,38.90780464,earlyvc,Unknown,SCHOOL WITHOUT WALLS @ FRANCIS STEVENS,"2425 N Street, NW",,20037,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.07047398,38.95295246,earlyvc,Unknown,MURCH ELEMENTARY SCHOOL,4810 36th St NW,,20008,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.0883238,38.93434357,earlyvc,Unknown,HORACE MANN ELEMENTARY SCHOOL,"4430 Newark Street, NW",,20016,Multi-Purpose Room,hours,2020/10/27,08:30,2020/11/02,19:00
-77.06759058,38.9660532,earlyvc,Unknown,LAFAYETTE ELEMENTARY SCHOOL,"5701 Broad Branch Road, NW",,20015,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.0268526,38.93596172,earlyvc,Unknown,RAYMOND RECREATION CENTER,"3725 10th Street, NW",,20010,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.03396054,38.98494649,earlyvc,Unknown,SHEPHERD ELEMENTARY SCHOOL,"3725 10th Street, NW",,20012,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.00500307,38.91524158,earlyvc,Unknown,McKINLEY TECHNOLOGY HIGH SCHOOL,"151 T Street, NE",,20002,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.982494,38.90650873,earlyvc,Unknown,TRINIDAD RECREATION CENTER,"1310 Childress Street, NE",,20002,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.02153202,38.90924023,earlyvc,Unknown,KENNEDY RECREATION CENTER,"1401 7th Street, NW",,20001,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.01411839,38.90456906,earlyvc,Unknown,WALKER-JONES EDUCATION CAMPUS,"1125 New Jersey Avenue, NW",,20001,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.96260858,38.85844002,earlyvc,Unknown,HILLCREST RECREATION CENTER,"3100 Denver Street, SE",,20020,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.94058338,38.87620501,earlyvc,Unknown,RIDGE ROAD COMMUNITY CENTER,"830 Ridge Road, SE",,20019,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.98289891,38.86976784,earlyvc,Unknown,ANACOSTIA SENIOR HIGH SCHOOL,"1601 16th Street, SE",,20020,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-77.00109568,38.83758557,earlyvc,Unknown,BALLOU SENIOR HIGH SCHOOL,"3401 4th Street, SE",,20032,Gymnasium,hours,2020/10/27,08:30,2020/11/02,19:00
-76.99182871,38.8471461,earlyvc,Unknown,SUPER VOTE CENTER! Entertainment and Sports Arena,1100 Oak Dr SE2,,20032,Concourse Area,hours,2020/10/27,08:30,2020/11/02,19:00
-77.01391798,38.90419943,electionday,Unknown,WALKER-JONES EDUCATION CAMPUS,1125 NEW JERSEY AVENUE NW,,20001,Gymnasium,hours,2020/11/03,07:00,2020/11/03,20:00
-77.04818876,38.89813157,electionday,Unknown,THE SCHOOL WITHOUT WALLS HIGH SCHOOL,2130 G STREET NW,,20037,Multi Purpose Room,hours,2020/11/03,07:00,2020/11/03,20:00
-77.0523233,38.90747695,electionday,Unknown,SCHOOL WITHOUT WALLS @ FRANCIS STEVENS,2425 N STREET NW,,20037,Auditorium,hours,2020/11/03,07:00,2020/11/03,20:00
-77.07047885,38.91315844,electionday,Unknown,DUKE ELLINGTON HIGH SCHOOL,3500 R STREET NW,,20007,Gallery,hours,2020/11/03,07:00,2020/11/03,20:00
